,Strain,Type,Rating,Effects,Flavor,Description,strain,id,status,sort,name,slug,image,description,type,crosses,breeder,effects,ailment,flavor,location,terpenes,thc,thca,thcv,cbd,cbda,cbdv,cbn,cbg,cbgm,cbgv,cbc,cbcv,cbv,cbe,cbt,cbl
1488,Star-Master-Kush,indica,4.7,"Relaxed,Uplifted,Focused,Happy,Sleepy","Skunk,Pine,Earthy","Star Master Kush is an indica-dominant hybrid strain from the gardens of Zion Cannabis in Portland, Oregon. A complex tangle of award-winning genetics, Star Master Kush descends from Sensi Star, Medicine Man, Master Kush, and Platinum Kush. This fruity-scented indica packs a punch, with fast-acting and long-lasting effects that may overwhelm the novice consumer. Hypnotic euphoria invites sleepiness over time, making this strain a preferred choice for evening use.",star-master-kush,2114,2,0,Star Master Kush,,,,Indica,,,"Relaxed, Sleepy, Euphoric, Uplifted, Dry Mouth","Stress, Insomnia, Pain, Lack of Appetite, Nausea","Skunk, Pine, Earthy",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1489,Starbud,indica,4.6,"Relaxed,Sleepy,Happy,Euphoric,Uplifted","Grape,Pine,Menthol","StarBud is the signature indica of the HortiLab seedline. After taking the Indica Cup at the High Times Cannabis Cup in 2009, StarBud developed a reputation for its thick coating of trichomes that sparkles like stars. This potent indica originated from a mystery clone out of the Midwest United States. StarBud is appreciated for its relaxing body effects and its ability to cradle consumers to sleep.  ",starbud,2115,2,0,StarBud,,,,Hybrid,,HortiLab Seeds,"Relaxed, Euphoric, Happy, Sleepy, Hungry, Dry Mouth, Anxious","Insomnia, Stress, Pain, Lack of Appetite, Muscle Spasms",Earthy,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1490,Stardawg,hybrid,4.5,"Happy,Relaxed,Uplifted,Euphoric,Talkative","Diesel,Pungent,Earthy","Stardawg, possibly named after the bright, sparkling crystal trichomes that blanket the strain like stars, is a hybrid cross between Chemdawg 4 and Tres Dawg. Earthy pine with sour notes of diesel color Stardawg, whose uplifting effects may help patients treating stress, fatigue, and anxiety disorders. Stardawg flowers in 67 days indoors with moderate yields. ",stardawg,7259,2,0,StarDawg,,,,Hybrid,,Top Dawg Seeds,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1491,Stardawg-Guava,sativa,4.6,"Relaxed,Happy,Uplifted,Energetic,Creative","Tropical,Sweet,Pungent","Stardawg Guava won first place for “Best Sativa” at the 2012 Denver Cannabis Cup. This strain hits the consumer square between the eyes with uplifting sativa stimulation and then cascades over the body with a subtle, vibrating warmth. Its aroma is mild but doesn’t lack nuance, expressing notes of pine, cheese, and tartness. A latent chemical flavor rolls off the palate with a clean, earthy finish. Enjoy this strain to relieve stress, mute depression, and curb minor physical aches and pains. ",stardawg-guava,1643,2,0,Stardawg Guava,,,,Sativa,,,"Uplifted, Happy, Relaxed, Focused, Euphoric, Dry Mouth","Depression, Stress, Pain, Inflammation",Sweet,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1492,Starfighter,hybrid,4.1,"Euphoric,Relaxed,Happy,Uplifted,Creative","Pine,Pungent,Woody","Starfighter is a 60/40 indica-dominant hybrid whose combined obscurity and quality have garnered this strain quite the reputation among growers and connoisseurs alike. Bred by Alien Genetics, Starfighter mixes genetics from Alien Tahoe OG and Lemon Alien Dawg to create a sweetly aromatic, uplifting hybrid that boasts its potency with a sparkling coat of star-like trichomes. Although the original Starfighter genetics have been discontinued, Exotic Genetix have resurrected similar phenotypes in seed form. ",starfighter,6785,2,0,Starfighter,,,,Hybrid,,Alien Genetics,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1493,Stella-Blue,sativa,4.6,"Energetic,Happy,Uplifted,Focused,Talkative","Sweet,Flowery,Berry","Stella Blue is a 70% sativa strain from Humboldt County, California, that is said to be a cross between Blueberry and an unknown sativa. Testament to its Blueberry parentage is Stella Blue’s sweet, fruity aroma, enriched by notes of orange and berry. Stella Blue’s happy, giggly, and uplifting sensations take over immediately, and can easily be used for either functional focus or lazy relaxation.",stella-blue,1644,2,0,Stella Blue,,,,Sativa,,,"Energetic, Uplifted, Happy, Focused, Relaxed, Dry Mouth, Paranoid","Depression, Stress, Nausea, Pain","Sweet, Berry",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1494,Stephen-Hawking-Kush,indica,4.6,"Relaxed,Happy,Euphoric,Focused,Tingly","Earthy,Woody,Berry","Stephen Hawking Kush, or SHK, is the second release in the Great Minds series of seeds from Alphakronik Genes. Named for famed scientist Dr. Stephen Hawking, SHK was created by pollenating a Harle-Tsu female with a Sin City Kush male. This indica-dominant hybrid is also part of Alphakrokik Genes’ CBD+ line of genetics that emphasize high-CBD strains. There are 3 known phenotypes of Stephen Hawking Kush, all with vivid cherry and berry flavors that mix with a minty note. The soothing, relaxing effects help keep pain away and also stimulate your stomach to suppress nausea.",stephen-hawking-kush,2116,2,0,Stephen Hawking Kush,,,,Hybrid,,Alpha Kronik Genes,"Relaxed, Happy, Euphoric, Focused, Uplifted, Dry Mouth, Paranoid","Stress, Pain, Nausea, Depression","Earthy, Pine",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495,Stevie-Wonder,hybrid,4.6,"Happy,Hungry,Uplifted,Focused,Tingly","Earthy,Pine,Orange","Stevie Wonder is a sativa-dominant hybrid born from the famed tetrad of Trainwreck, Sensi Star, Bubba Kush, and Blueberry. These large, frosted buds are a patchwork of sage and dark greens, scented with sweet berry and earthy notes. The indica in Stevie Wonder induces a subtle relaxation throughout the body, but even stronger are the uplifted, cerebral-focused effects characteristic of its sativa genes. Patients have reported this strain’s success in treating migraines, nausea, and pain. Stevie Wonder is available through Bodhi seeds or as a clone in the Colorado area. ",stevie-wonder,5714,2,0,Stevie Wonder,,,,Hybrid,,Bodhi Seeds,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1496,Strawberry,sativa,4.4,"Happy,Relaxed,Uplifted,Euphoric,Talkative","Strawberry,Sweet,Flowery","Originally bred in the Netherlands, Strawberry is a mostly sativa cannabis strain with a pungent fruity scent and uplifting effects. Consumers prone to anxiety choose Strawberry for its stress-relieving qualities without the jarring paranoia common among high THC strains. Comfortable and relaxing, Strawberry brings physical and mental relief to patients treating symptoms mild or severe. Strawberry is grown both indoors and out with a 9 week flowering time.",strawberry,1652,2,0,Strawberry,,,,Sativa,,,"Happy, Uplifted, Energetic, Talkative, Euphoric, Dry Mouth, Paranoid","Stress, Depression, Pain","Strawberry, Sweet, Berry",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1497,Strawberry-Alien-Kush,hybrid,4.0,Relaxed,Strawberry,"Strawberry Alien Kush is an indica-dominant hybrid with loud terpenes and potent effects. This strain, commonly referred to as Strawberry AK, is a cross of Strawberry Cough and Alien Kush, and was bred by Dank House Seeds. It sprouts stout, squat plants that emit a sweet, fruity aroma of strawberries and cherries alongside notes of floral incense. Strawberry Alien Kush’s indica-dominance lends itself to consumers seeking relief from nausea and minor pains without encumbering them with overly sedating physical effects. ",strawberry-alien-kush,7099,2,0,Strawberry Alien Kush,,,,Hybrid,,Dank House Seeds,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1498,Strawberry-Amnesia,sativa,4.5,"Creative,Relaxed,Uplifted,Euphoric,Energetic","Strawberry,Sweet,Earthy","A powerful and uplifting flower from Dinafem Seeds, Strawberry Amnesia is a strain made in sativa heaven. Bred from Strawberry Cough and Amnesia, this strain delivers the familiar sweet strawberry and earthy flavors of its parents. Having the typical energizing and euphoric effects of a sativa, Strawberry Amnesia also induces the calming body high from its distant indica relatives. The dark green buds of Strawberry Amnesia are very dense and heavily coated in resin, so this potent sativa should be handled with caution.  ",strawberry-amnesia,1645,2,0,Strawberry Amnesia,,,,Sativa,,,"Euphoric, Uplifted, Relaxed, Energetic, Focused, Dry Mouth, Anxious","Stress, Depression, Lack of Appetite","Strawberry, Sweet",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1499,Strawberry-Banana,hybrid,4.5,"Relaxed,Euphoric,Happy,Uplifted,Creative","Strawberry,Sweet,Berry","Strawberry Banana is a 70/30 indica-dominant cannabis strain developed by DNA Genetics in collaboration with Serious Seeds. A genetic cross between Crockett’s Banana Kush and the “Strawberry” phenotype of Bubble Gum, Strawberry Banana inherits a sweet fruity flavor that earned this hybrid her name. Known for its heavy resin production and high THC content, Strawberry Banana produces happy, peaceful effects that sharpen creativity and sensory awareness.",strawberry-banana,1210,2,0,Strawberry Banana,,,,Hybrid,,Reserva Privada,,,,"Los Angeles, CA",,2400,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1500,Strawberry-Blue,sativa,4.2,"Relaxed,Happy,Uplifted,Energetic,Euphoric","Strawberry,Sweet,Berry","Strawberry Blue is a 75% sativa bred by World of Seeds that crosses Strawberry and New Blue Line. These lanky buds are favored for their notable sweet, fruity aroma and provide heady effects true to its sativa heritage. Indoor or outdoor grows offer comparable yields, with a flowering time of around 9 weeks.",strawberry-blue,1646,2,0,Strawberry Blue,,,,Hybrid,,World Of Seeds Bank,"Happy, Energetic, Uplifted, Euphoric, Dry Mouth","Stress, Depression, Pain, Lack of Appetite","Strawberry, Sweet, Berry",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1501,Strawberry-Cheesecake,indica,4.4,"Relaxed,Happy,Euphoric,Uplifted,Giggly","Strawberry,Sweet,Cheese","By combining Chronic, White Widow, and Cheese, Heavyweight Seeds has created a delicious 70% indica-dominant hybrid deserving of the name Strawberry Cheesecake. The intensely sweet, creamy berry flavors of this strain linger on the palate while pain melts away and the mind soars with creative energy. Featuring THC levels over 20% and CBD levels of 2% or more, Strawberry Cheesecake can be beneficial in managing chronic pain as well as treating symptoms of depression and chronic fatigue.   ",strawberry-cheesecake,2117,2,0,Strawberry Cheesecake,,,,Hybrid,,Heavyweight Seeds,"Relaxed, Uplifted, Happy, Euphoric, Hungry, Dry Mouth, Paranoid, Anxious","Depression, Pain, Lack of Appetite, Stress","Strawberry, Sweet",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1502,Strawberry-Cough,sativa,4.3,"Happy,Uplifted,Euphoric,Energetic,Relaxed","Strawberry,Sweet,Berry","Known for its sweet smell of fresh strawberries and an expanding sensation that can make even the most seasoned consumer cough, Strawberry Cough is a potent sativa blend with mysterious genetic origins. The skunky, berry flavors will capture your senses while the cerebral, uplifting effects provide an aura of euphoria that is sure to leave a smile on your face. Strawberry Cough is a great solution for managing social anxieties and to balance yourself in times of elevated stress.",strawberry-cough,385,1,0,Strawberry Cough,,,,Hybrid,174,Unknown Breeder,"Happy, Euphoric, Uplifted, Energetic, Relaxed, Dry Mouth, Anxious, Paranoid","Stress, Depression, Pain, Lack of Appetite","Strawberry, Sweet, Berry","Lake Forest, CA",,1700,,,0,,,0,,,,,,,,,
1503,Strawberry-Diesel,hybrid,4.3,"Happy,Relaxed,Uplifted,Euphoric,Creative","Diesel,Strawberry,Sweet","This cross between NYC Diesel and Strawberry Cough is a true hybrid. Providing consumers with a well-balanced experience, Strawberry Diesel relaxes your muscles while creating an energizing, clear-headed sensation. If you’re looking for help with insomnia and would like to get things done, Strawberry Diesel may be your perfect match. Great for both daytime and nighttime use, this strain is incredibly versatile. Novice consumers should be cautious with it, however, as it is fast-acting and intense. Great for indoor growing, Strawberry Diesel tends to flower between 9 and 10 weeks. Taking after both of its parents, this strain also features a fruity scent while providing a thick, diesel-like taste.",strawberry-diesel,386,1,0,Strawberry Diesel,,,,Hybrid,0,,,,,,,127,,,0,,,0,,,,,,,,,
1504,Strawberry-Dream,hybrid,4.4,"Uplifted,Euphoric,Happy,Energetic,Creative","Strawberry,Sweet,Berry","Strawberry Dream is a hybrid cross of the Blue Dream and Strawberry Cough strains. With a potency similar to Blue Dream and a smell of sweet strawberries, this sativa-dominant strain will bring considerable head effects.   ",strawberry-dream,6610,2,0,Strawberry Dream,,,,Hybrid,,Infinity Seeds,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1505,Strawberry-Durban-Diesel,sativa,4.4,"Uplifted,Creative,Focused,Talkative,Aroused","Strawberry,Earthy,Diesel","Loud Seeds recreated a hybrid they originally made years ago by crossing a Strawberry Cough x Durban Poison female with their Sour dominant Original Loud male. The result is Strawberry Durban Diesel, an 80% sativa-dominant plant that finishes flowering in 8-10 weeks and can produce THC levels up to 25%.",strawberry-durban-diesel,1647,2,0,Strawberry Durban Diesel,,,,Hybrid,,Loud Seeds,"Talkative, Uplifted, Horny, Creative, Energetic","Depression, Stress","Strawberry, Earthy",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1506,Strawberry-Fields,indica,4.6,"Relaxed,Happy,Uplifted,Hungry,Euphoric","Strawberry,Sweet,Berry","Strawberry Fields by Sagarmatha Seeds is an indica-dominant hybrid strain that takes the flavorful Strawberry Cough and crosses it with an undisclosed indica parent. This strain is destined for consumers who love that strawberry aroma, but would prefer something more tranquilizing than the Strawberry Cough sativa. Its heavier effects also make Strawberry Fields a better choice for patients treating pain, insomnia, and appetite loss.",strawberry-fields,2118,2,0,Strawberry Fields,,,,Hybrid,,Crockett Family Farms,"Relaxed, Euphoric, Happy, Uplifted, Hungry, Dry Mouth, Paranoid","Stress, Pain, Muscle Spasms, Depression, Insomnia","Strawberry, Berry, Sweet",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1507,Strawberry-Frost,indica,5.0,"Happy,Aroused,Relaxed,Giggly,Hungry","Sweet,Strawberry,Earthy","Strawberry Frost by MaddFarmer is a three-way cross of fruity trichome producers. The genetic descendant of a Strawberry Cough/Deep Chunk hybrid crossed with Space Queen, Strawberry Frost is a heady indica-dominant strain that is gentle on the body. This dreamy strain calms the body and elevates the mind, placing the consumer in a relaxed, whimsical state. These effects naturally aid with stress, anxiety, and general restlessness. ",strawberry-frost,2119,2,0,Strawberry Frost,,,,Indica,,,"Happy, Horny, Relaxed, Hungry, Dry Mouth","Depression, Stress, Lack of Appetite","Sweet, Strawberry, Earthy",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1508,Strawberry-Ice,sativa,4.8,"Focused,Energetic,Euphoric,Happy,Creative","Strawberry,Sweet,Berry","Strawberry Ice is a heady, energetic sativa-dominant strain that was named Best Sativa at the 2015 Oregon DOPE Cup. With big colorful flowers that emit an aroma of fresh strawberries, Strawberry Ice is a great choice for staying active and motivated throughout your day. The fruit flavors and subtle mint undertones lead the charge towards the creative, euphoric bliss of Strawberry Ice.",strawberry-ice,1648,2,0,Strawberry Ice,,,,Sativa,,,"Euphoric, Uplifted, Focused, Energetic, Happy, Dry Mouth, Paranoid","Depression, Stress, Pain","Strawberry, Sweet, Berry",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1509,Strawberry-Kush,hybrid,4.2,"Relaxed,Happy,Sleepy,Uplifted,Euphoric","Strawberry,Sweet,Pungent","Strong and sweet, Strawberry Kush is one well-rounded lady. Featuring a musky imitation strawberry taste, this strain lives up to its lineage. Typically found as a cross between the sweet Strawberry Cough and the pungent OG Kush, Strawberry Kush is strong but not overpowering. A potent indica for novice consumers, it’s a sleepy strain that produces a calming heavy body sensation. The genetics for this strain may vary by dispensary. Some dispensaries carry more hybrid or sativa-dominant versions, which may produce opposite, energizing effects. For growers, Strawberry Kush is available by clone only and typically flowers between 8 and 9 weeks.",strawberry-kush,387,1,0,Strawberry Kush,,,,Hybrid,0,Royal Dutch Genetics,,,,,,127,,,0,,,0,,,,,,,,,
1510,Strawberry-Lemonade,sativa,4.3,"Happy,Relaxed,Euphoric,Uplifted,Energetic","Strawberry,Lemon,Berry","Strawberry Lemonade is a sativa-dominant strain that took 1st in High Times’ 2015 Denver Cannabis Cup as “Best Sativa Concentrate.” The supposed cross of Strawberry Cough and Lemon OG, Strawberry Lemonade stays true to form, exhibiting tangy aromas and flavors coupled with a heady onset and complementary body effects. Enjoy Strawberry Lemonade throughout the day, but don’t plan too far ahead as this strain can be whimsical and intensely relaxing. ",strawberry-lemonade,1649,2,0,Strawberry Lemonade,,,,Sativa,,,"Happy, Euphoric, Energetic, Creative, Uplifted, Dry Mouth, Anxious, Paranoid","Stress, Depression, Pain","Lemon, Strawberry, Sweet",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1511,Strawberry-Mango-Haze,sativa,4.6,"Happy,Euphoric,Uplifted,Focused,Energetic","Strawberry,Sweet,Mango","Strawberry Mango Haze is a beautiful synergy of effects that just happen to be dressed in sweet, fruity aromas. This strain achieves deep mental haziness and subtle degree of stimulation by combining Strawberry Cough and Mango Haze. The “Haze” effects are supplementary for folks looking for focus in a mundane task, and this beneficial tunnel vision mixed with the mid-range stimulation make Strawberry Mango Haze a quality all-day strain.  ",strawberry-mango-haze,1650,2,0,Strawberry Mango Haze,,,,Sativa,,,"Happy, Euphoric, Uplifted, Focused, Dry Mouth, Paranoid, Anxious","Stress, Depression, Pain","Mango, Strawberry, Sweet",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1512,Strawberry-Milkshake,hybrid,4.4,"Happy,Relaxed,Uplifted,Tingly,Euphoric","Sweet,Strawberry,Berry","Strawberry Milkshake, a perfect 50/50 hybrid, flaunts the fruity flavor of its parent, Strawberry Soda, and the pungent richness of White Fire Alien OG. This combination leaves muscles relaxed and politely tranquilizes overactive, racing minds. Expect laughter, a touch of energy, and a noticeable weight in the eyes. ",strawberry-milkshake,2973,2,0,Strawberry Milkshake,,,,Hybrid,,Baked Genetics,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1513,Strawberry-Og,hybrid,4.2,"Happy,Relaxed,Euphoric,Hungry,Creative","Strawberry,Diesel,Spicy/Herbal","Strawberry OG (not to be confused with OG Strawberry) is the product of a laborious search for stable strawberry flavor mixed against Bruce Banner’s exceptional structure, yield, and early flowering schedule. This hybrid, clone-only strain blends the upbeat sedation of SFV OG with Bruce Banner’s OG Kush body and Strawberry Diesel mind to create a hybrid wonder of physical and mental effects. Anticipate a euphoric and relaxing aura that does deter physical activity, but unleashes the mind, offering a spacey, creative tint to everyday hobbies. ",strawberry-og,6206,2,0,Strawberry OG,,,,Hybrid,,The Cali Connection,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1514,Strawberry-Satori,sativa,4.5,"Uplifted,Creative,Relaxed,Happy,Energetic","Strawberry,Berry,Pungent","Strawberry Satori is a mostly sativa strain, fathered by Satori and mothered by Strawberry Cough. With a sweet grape and strawberry aroma, these buds deliver uplifting, creative effects that are especially useful in treating anxiety and PTSD. In fact, Strawberry Satori was bred as an anti-anxiety medication by prioritizing the presence of Linalool, a calming terpene that affects GABA receptors.",strawberry-satori,1651,2,0,Strawberry Satori,,,,Sativa,,,"Uplifted, Creative, Relaxed, Happy, Focused, Paranoid, Dry Mouth, Anxious","Stress, Depression, Pain, Insomnia","Strawberry, Sweet, Grape",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1515,Sublime,sativa,4.2,"Uplifted,Happy,Focused,Euphoric,Talkative","Flowery,Pine,Earthy",Sublime is a 70% sativa strain that delivers energizing effects alongside a tropical fruity flavor.,sublime,1653,2,0,Sublime,,,,Sativa,,,"Uplifted, Happy, Focused, Euphoric, Talkative, Dry Mouth, Anxious","Stress, Lack of Appetite, Nausea, Pain","Pine, Earthy",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1516,Sugar-Black-Rose,indica,4.5,"Relaxed,Euphoric,Happy,Sleepy,Uplifted","Rose,Sweet,Flowery","Sugar Black Rose is a cross of Critical Mass and Black Domina bred by Delicious Seeds. An indica-dominant hybrid, Sugar Black Rose has a sweet taste with hints of fruit and fresh flowers. The aroma takes on a pungent, earthy musk that resembles exotic hash imported from overseas, and brings with it a relaxing body buzz that helps keep nausea, anxiety, and muscle pains at bay.",sugar-black-rose,2120,2,0,Sugar Black Rose,,,,Hybrid,,Delicious Seeds,"Relaxed, Happy, Euphoric, Uplifted, Sleepy, Dry Mouth, Anxious","Stress, Insomnia, Muscle Spasms, Lack of Appetite","Sweet, Rose, Earthy",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1517,Sugar-Cookie,hybrid,4.3,"Relaxed,Happy,Sleepy,Euphoric,Giggly","Sweet,Earthy,Tar","Sugar Cookie is a relaxing indica-dominant hybrid with an aromatic sweetness that is likely to have influenced this strain’s name. You might think this hybrid belongs in the same family as the famed Girl Scout Cookies, but its genetics say otherwise. Sugar Cookie is a three-way cross between Crystal Gayle, Blue Hawaiian, and Sensi Star, together passing on the resinous qualities of a Northern Lights ancestor along with tropical fruit and berry flavors. Your new favorite midnight snack may just be this indica Sugar Cookie, as it delivers a deep, full-body calm before lulling you into deep sleep.",sugar-cookie,5096,2,0,Sugar Cookie,,,,Hybrid,,Unknown Breeder,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1518,Sugar-Kush,indica,4.1,"Relaxed,Hungry,Sleepy,Happy,Euphoric","Sweet,Woody,Pine",Sugar Kush is an indica-dominant cross between Kandy Kush and Hash Plant.,sugar-kush,2121,2,0,Sugar Kush,,,,Hybrid,,Dizzy Duck Seeds,"Relaxed, Sleepy, Hungry, Happy, Tingly, Dry Mouth","Insomnia, Stress, Lack of Appetite, Pain","Sweet, Earthy",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1519,Sugar-Mama,indica,4.8,"Euphoric,Relaxed,Happy,Focused,Uplifted","Sweet,Tropical,Blueberry","A hybrid of two well-known indicas, Sugar Mama is praised for her over-sized colas and sugary flavors. The aroma of this Big Bud/Blueberry cross has notes of skunky maple syrup and hash. The calming indica effects are an enjoyable way to curb nausea and migraines.",sugar-mama,2122,2,0,Sugar Mama,,,,Indica,,,"Euphoric, Relaxed, Happy, Uplifted, Horny, Dry Mouth","Stress, Depression, Pain, Insomnia","Sweet, Citrus",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1520,Sugar-Pine,hybrid,0.0,None,None,"Sugar Pine has been a work in progress for the last two decades, crossing and backcrossing specific cannabis genetics to compose an ideal sativa-dominant hybrid that is simultaneously uplifting and soothing. Produced by Flying Dutchman Gardens, Sugar Pine is an eclectic hybrid with genetics that include Skunk, Sugar Bush, Afghani, and Sweetie. This strain’s aroma is indicative of its name, stinking of sweet pine, with notes of hops and vanilla. The buzz is uplifting and cerebral while remaining light and easy on the body. ",sugar-pine,2541,2,0,Sugar Pine,,,,Hybrid,,Unknown Breeder,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1521,Sugar-Plum,sativa,4.5,"Euphoric,Happy,Relaxed,Uplifted,Creative","Sweet,Plum,Tropical","Sugar Plum from Stoney Girl Gardens is an award-winning sativa bred by crossing Berkeley Blues and Hawaiian Haze Plum. With a tropical and earthy flavor, Sugar Plum produces hard-hitting and long-lasting cerebral effects. Its THC content has been measured as high as 28%, a much-needed potency for patients treating severe pain, nausea, glaucoma, mood disorders, and gastrointestinal complications. This 90% sativa is a good beginner grow, with a recommended flowering period of 35 days for indoor gardens.",sugar-plum,1654,2,0,Sugar Plum,,,,Hybrid,,Stoney Girl Gardens,"Euphoric, Happy, Relaxed, Uplifted, Creative, Dry Mouth, Paranoid","Pain, Stress, Inflammation, Lack of Appetite, Nausea","Sweet, Berry",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1522,Sugar-Shack,hybrid,4.6,"Relaxed,Happy,Uplifted,Energetic,Talkative","Earthy,Pine,Sweet","Sugar Shack is a moderate, indica-dominant hybrid. Great for nighttime or evening use, this strain provides users with a mild head and body-heavy sensation. Be careful, though, because too much Sugar Shack will put you right to sleep. If you’re looking to increase appetite, Sugar Shack is also a great strain to try. Like its name suggests, this strain features a slightly sweet taste and scent that verges on piney and herbal. A good strain for beginning cannabis users, Sugar Shack is mild yet gets the job done.",sugar-shack,388,1,0,Sugar Shack,,,,Hybrid,0,Prairie Pride Seeds,,,,,,127,,,0,,,0,,,,,,,,,
1523,Summertime-Squeeze,sativa,4.9,"Creative,Happy,Talkative,Giggly,Aroused","Tea,Earthy,Spicy/Herbal","Summertime Squeeze is a sativa-dominant strain whose aroma brings to mind fresh citrus and tropical fruit. Its high-energy, active effects make it a perfect choice for getting outside, socializing, or indulging in creative activities.",summertime-squeeze,1655,2,0,Summertime Squeeze,,,,Sativa,,,"Creative, Happy, Talkative, Horny",,Earthy,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1524,Sumo-Grande,sativa,4.5,"Focused,Hungry,Creative,Talkative,Uplifted","Citrus,Sweet,Pine","Sumo Grande is a unique cross that builds off the old school genetics of Sensi Star and Sour Diesel to create Hong Kong, which is then crossed with the sativa Nina Limone, a citrusy yield powerhouse. This gorgeous plant grows big and strong (a testament to its namesake) and creates buds that offer a motivating buzz with minimal paranoia. Use this strain as a pick-me-up that focuses the mind without encumbering the body. Sumo Grande is a proprietary genetic strain created by Colorado Seed Inc. ",sumo-grande,1656,2,0,Sumo Grande,,,,Sativa,,,"Horny, Focused, Hungry, Creative, Talkative","Depression, Lack of Appetite, Stress",Citrus,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1525,Sun-Ra,sativa,4.7,"Happy,Uplifted,Euphoric,Focused,Tingly","Citrus,Sweet,Earthy","Sun Ra is a powerful blend of Colorado Seed Inc.’s most potent sativas, Sunburn and Rebel God Smoke. This heady synthesis yields a strain that stimulates the mind and body with upbeat energy. It has a pleasant and spicy aroma, yielding notes of fuel, earth, and a latent fruitiness that fades into the background. Enjoy this sativa-dominant strain in the daytime hours to maximize its motivating qualities.",sun-ra,1657,2,0,Sun Ra,,,,Hybrid,,Helping Hands Herbals,"Happy, Uplifted, Euphoric, Focused, Tingly","Insomnia, Lack of Appetite, Stress","Citrus, Sweet",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
